#K-Path    Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
#Band-index    1
   0.535   -26.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.524   -26.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.513   -26.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.501   -26.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.490   -26.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.479   -26.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.468   -26.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.457   -26.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.446   -26.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.434   -26.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.423   -26.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.412   -26.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.401   -26.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.390   -26.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.379   -26.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.367   -26.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.367   -26.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.348   -26.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.329   -26.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.309   -26.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.290   -26.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.271   -26.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.251   -26.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.232   -26.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.213   -26.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.193   -26.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.174   -26.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.155   -26.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.135   -26.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.116   -26.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.097   -26.675  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
