#K-Path    Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
#Band-index    1
   0.513   -26.675  0.000  0.753  0.000  0.237  0.000  0.000  0.000  0.000  0.000  0.990
   0.501   -26.675  0.000  0.750  0.000  0.240  0.000  0.000  0.000  0.000  0.000  0.990
   0.490   -26.675  0.000  0.749  0.000  0.241  0.000  0.000  0.000  0.000  0.000  0.990
   0.479   -26.675  0.000  0.750  0.000  0.240  0.000  0.000  0.000  0.000  0.000  0.990
   0.468   -26.675  0.000  0.746  0.000  0.244  0.000  0.000  0.000  0.000  0.000  0.990
   0.457   -26.675  0.000  0.746  0.000  0.243  0.000  0.000  0.000  0.000  0.000  0.990
   0.446   -26.675  0.000  0.748  0.000  0.242  0.000  0.000  0.000  0.000  0.000  0.990
   0.434   -26.675  0.000  0.747  0.000  0.243  0.000  0.000  0.000  0.000  0.000  0.990
   0.423   -26.675  0.000  0.747  0.000  0.243  0.000  0.000  0.000  0.000  0.000  0.990
   0.412   -26.675  0.000  0.746  0.000  0.244  0.000  0.000  0.000  0.000  0.000  0.990
   0.401   -26.675  0.000  0.749  0.000  0.241  0.000  0.000  0.000  0.000  0.000  0.990
   0.390   -26.675  0.000  0.752  0.000  0.238  0.000  0.000  0.000  0.000  0.000  0.990
   0.379   -26.675  0.000  0.756  0.000  0.234  0.000  0.000  0.000  0.000  0.000  0.990
   0.367   -26.675  0.000  0.761  0.000  0.229  0.000  0.000  0.000  0.000  0.000  0.990
   0.367   -26.675  0.000  0.761  0.000  0.229  0.000  0.000  0.000  0.000  0.000  0.990
   0.348   -26.675  0.000  0.765  0.000  0.224  0.000  0.000  0.000  0.000  0.000  0.990
   0.329   -26.675  0.000  0.771  0.000  0.219  0.000  0.000  0.000  0.000  0.000  0.990
   0.309   -26.675  0.000  0.773  0.000  0.216  0.000  0.000  0.000  0.000  0.000  0.990
   0.290   -26.675  0.000  0.770  0.000  0.220  0.000  0.000  0.000  0.000  0.000  0.990
   0.271   -26.675  0.000  0.766  0.000  0.223  0.000  0.000  0.000  0.000  0.000  0.990
   0.251   -26.675  0.000  0.766  0.000  0.224  0.000  0.000  0.000  0.000  0.000  0.990
   0.232   -26.675  0.000  0.765  0.000  0.225  0.000  0.000  0.000  0.000  0.000  0.990
   0.213   -26.675  0.000  0.767  0.000  0.223  0.000  0.000  0.000  0.000  0.000  0.990
   0.193   -26.675  0.000  0.772  0.000  0.218  0.000  0.000  0.000  0.000  0.000  0.990
   0.174   -26.675  0.000  0.772  0.000  0.217  0.000  0.000  0.000  0.000  0.000  0.990
   0.155   -26.675  0.000  0.770  0.000  0.220  0.000  0.000  0.000  0.000  0.000  0.990
   0.135   -26.675  0.000  0.768  0.000  0.221  0.000  0.000  0.000  0.000  0.000  0.990
   0.116   -26.675  0.000  0.765  0.000  0.225  0.000  0.000  0.000  0.000  0.000  0.990
   0.097   -26.675  0.000  0.758  0.000  0.232  0.000  0.000  0.000  0.000  0.000  0.990
   0.077   -26.675  0.000  0.757  0.000  0.233  0.000  0.000  0.000  0.000  0.000  0.990
   0.058   -26.675  0.000  0.753  0.000  0.237  0.000  0.000  0.000  0.000  0.000  0.990
   0.039   -26.675  0.000  0.749  0.000  0.241  0.000  0.000  0.000  0.000  0.000  0.990
   0.019   -26.675  0.000  0.753  0.000  0.237  0.000  0.000  0.000  0.000  0.000  0.990
   0.000   -26.675  0.000  0.746  0.000  0.244  0.000  0.000  0.000  0.000  0.000  0.990
#Band-index    3
   0.000   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.019   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.039   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.058   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.077   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.097   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.116   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.135   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.155   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.174   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.193   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.213   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.232   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.251   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.271   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.290   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.309   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.329   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.348   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.367   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.367   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
   0.379   -26.671  0.000  0.000  0.988  0.000  0.000  0.000  0.000  0.000  0.000  0.988
