#K-Path    Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
#Band-index    1
   0.892   -26.646  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.914   -26.646  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.937   -26.646  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.959   -26.646  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.981   -26.646  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.004   -26.646  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
#Band-index    2
   1.004   -26.646  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.981   -26.646  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.959   -26.646  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.937   -26.646  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.914   -26.646  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.892   -26.646  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.870   -26.646  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.847   -26.646  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.825   -26.646  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.803   -26.646  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.780   -26.646  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.758   -26.646  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.736   -26.646  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.713   -26.646  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.691   -26.646  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.669   -26.646  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.646   -26.646  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.624   -26.646  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.602   -26.646  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.579   -26.646  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.579   -26.646  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.568   -26.646  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
